event_id,ioc_value,ioc_type,category,confidence,first_seen,last_seen,source_url,evidence_id,context,status
gw-ref-2018-karoblis,103.36.109.248,ipv4,OperationalIOC,0.90,2018-01-18,2018-01-18,https://www.nksc.lt/doc/en/analysis/2018_01_29_Brief_review_of_an_incident_analysis.pdf,NKSC-152827-P3,Email distribution server; NKSC confidence 90/100.,validated
gw-ref-2018-karoblis,88.99.132.118,ipv4,OperationalIOC,0.90,2018-01-18,2018-01-18,https://www.nksc.lt/doc/en/analysis/2018_01_29_Brief_review_of_an_incident_analysis.pdf,NKSC-152827-P3,Server used by the malicious document to download a payload; NKSC confidence 90/100.,validated
gw-ref-2018-karoblis,6bd52a05e1eb703d34b6bcb7f05673a4,hash_md5,OperationalIOC,1.00,2018-01-18,2018-01-18,https://www.nksc.lt/doc/en/analysis/2018_01_29_Brief_review_of_an_incident_analysis.pdf,NKSC-152827-P3,MD5 of Press_release_18_01_18.doc; NKSC confidence 100/100.,validated
gw-ref-2019-karoblis,94.103.82.136,ipv4,OperationalIOC,0.70,2019-04-10,2019-04-10,https://www.nksc.lt/doc/en/analysis/2019_04_30_Brief_targeted_attack_analysis.pdf,NKSC-163811-P5,Server used to distribute spoofed emails; NKSC confidence 70/100.,validated
gw-ref-2019-karoblis,38.117.96.154,ipv4,OperationalIOC,0.70,2019-04-11,2019-04-11,https://www.nksc.lt/doc/en/analysis/2019_04_30_Brief_targeted_attack_analysis.pdf,NKSC-163811-P5,TOR exit used during news-site content replacement; NKSC confidence 70/100.,validated
gw-test-2021-polskie-radio,88.99.132.118,ipv4,OperationalIOC,0.95,2021-04-28,2021-04-28,https://cloud.google.com/blog/topics/threat-intelligence/espionage-group-unc1151-likely-conducts-ghostwriter-influence-activity,MANDIANT-GW-2021-P26-27,C2 reused from the Lithuanian RADIOSTAR case.,validated
gw-test-2021-polskie-radio,842ee5e1e7b50b6e4916c177ace9debc,hash_md5,OperationalIOC,0.95,2021-04-28,2021-04-28,https://cloud.google.com/blog/topics/threat-intelligence/espionage-group-unc1151-likely-conducts-ghostwriter-influence-activity,MANDIANT-GW-2021-P26,MD5 of News.03.doc.,validated
gw-test-2021-gift,88.99.104.179,ipv4,OperationalIOC,0.95,2021-04-28,2021-04-28,https://cloud.google.com/blog/topics/threat-intelligence/espionage-group-unc1151-likely-conducts-ghostwriter-influence-activity,MANDIANT-GW-2021-P27-29,VIDEOKILLER command-and-control server.,validated
gw-test-2021-gift,3e5b26a5a8e996d5e95339ee3a487a5a,hash_md5,OperationalIOC,0.95,2021-04-28,2021-04-28,https://cloud.google.com/blog/topics/threat-intelligence/espionage-group-unc1151-likely-conducts-ghostwriter-influence-activity,MANDIANT-GW-2021-P27,MD5 of gift4.03.doc.,validated
gw-test-2021-gift,90adaadf02f2e1a90bdae790de7d565f,hash_md5,OperationalIOC,0.95,2021-04-28,2021-04-28,https://cloud.google.com/blog/topics/threat-intelligence/espionage-group-unc1151-likely-conducts-ghostwriter-influence-activity,MANDIANT-GW-2021-P29,MD5 of VIDEOKILLER backdoor.,validated
gw-test-2021-socis,94.103.82.136,ipv4,OperationalIOC,0.95,2021-04-28,2021-04-28,https://cloud.google.com/blog/topics/threat-intelligence/espionage-group-unc1151-likely-conducts-ghostwriter-influence-activity,MANDIANT-GW-2021-P32,Sender IP also used in the Lithuanian corruption dissemination operation.,validated
gw-test-2021-socis,cafb6b5795c26376289832cffc3aee94,hash_md5,OperationalIOC,0.95,2021-04-28,2021-04-28,https://cloud.google.com/blog/topics/threat-intelligence/espionage-group-unc1151-likely-conducts-ghostwriter-influence-activity,MANDIANT-GW-2021-P32,MD5 of weaponised SOCIS presentation.,validated
